At (s)	Wall clock time (ms)			CPU time (ms)					MB			
	STW sweep	Concurrent	STW mark	STW seep	Assist	BG	Idle	STW mark	At start	At end	Live heap	Goal heap
151.783	4.964	8078.6	6.85	29.418	54.76	11038.93	26611.6	41.435	645	659	336	662
0.053	0.013	0.86	0.12	0.078	0.36	0.72	1.3	0.76	4	4	2	5
0.066	0.005	0.74	0.008	0.035	0.36	0.55	1.6	0.048	5	5	3	6
0.08	0.009	0.77	0.012	0.054	0.43	0.75	2	0.074	7	7	5	8
0.092	0.008	1.2	0.005	0.048	0	1.4	3.3	0.034	10	10	7	11
0.105	0.012	0.93	0.009	0.074	0.35	0.62	2.4	0.057	14	14	4	15
0.112	0.009	1.1	0.005	0.056	0.25	0.79	3	0.033	8	8	5	9
0.121	0.007	1.4	0.005	0.044	0.26	1.3	3.3	0.035	10	11	7	11
0.134	0.011	1.4	0.008	0.066	0.39	1.4	4.8	0.05	14	14	9	15
0.149	0.011	1.8	0.008	0.07	0.39	2.2	5.9	0.051	17	18	11	18
0.169	0.014	2.4	0.008	0.086	0.41	2.9	8	0.049	22	23	14	23
0.193	0.016	3.3	0.006	0.097	0.38	3.2	10	0.036	28	29	18	29
0.226	0.018	3.9	0.006	0.1	0.42	5	13	0.036	36	37	23	37
0.263	0.018	5.2	0.008	0.11	0.42	5.4	18	0.051	46	47	31	47
0.319	0.022	7.1	0.009	0.13	0.42	7.7	23	0.056	62	64	39	63
0.387	0.021	8.5	0.007	0.12	0.36	10	29	0.044	76	78	49	78
0.471	0.022	11	0.008	0.13	0.27	10	42	0.052	96	99	64	99
0.729	0.023	14	0.011	0.13	0.32	15	43	0.069	125	126	76	128
1.145	0.028	16	0.001	0.17	0.39	11	48	0.011	149	151	78	153
1.573	0.03	17	0.012	0.18	0.42	17	43	0.074	152	154	80	156
1.99	0.029	14	0.16	0.17	0.26	12	50	0.98	156	158	80	160
2.414	0.029	14	0.012	0.17	0.3	14	49	0.075	156	158	81	160
2.824	0.029	14	0.011	0.17	0.26	15	49	0.071	158	160	82	162
3.254	0.028	17	0.002	0.17	0.27	14	51	0.016	160	164	85	164
3.695	0.027	14	0.16	0.16	0.41	16	52	1	166	168	84	170
4.143	0.029	19	0.012	0.17	0.37	20	44	0.076	164	166	86	168
4.628	0.028	15	0.013	0.17	0.29	15	55	0.081	167	169	86	172
5.098	0.028	16	0.002	0.16	0.28	15	58	0.017	168	169	86	172
5.554	0.028	15	0.031	0.17	0.26	16	59	0.18	169	171	88	173
6.022	0.028	24	0.16	0.16	0.37	15	52	0.99	172	175	90	176
