 CPU    0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23
   0    0   53   53  164  165  165  168  162  168  168  168  168   19   54   54  164  165  165  167  168  168  168  168  168
   1   53    0   54  165  165  165  168  167  168  168  167  168   53   19   54  165  165  167  168  167  168  168  168  168
   2   53   54    0  165  165  165  168  168  168  168  168  168   53   54   19  165  165  165  168  168  168  168  168  168
   3  164  165  165    0   54   53  168  168  168  168  168  168  164  165  165   19   53   54  168  168  168  168  168  168
   4  165  165  165   54    0   54  168  167  168  168  168  168  165  165  165   53   19   54  168  168  168  168  168  168
   5  165  165  165   53   54    0  168  168  168  168  167  168  165  165  165   53   54   19  168  168  168  168  168  168
   6  168  168  168  168  168  168    0   56   56  172  172  175  168  168  168  168  168  168   20   56   56  172  172  175
   7  162  167  168  168  167  168   56    0   56  172  172  172  167  168  168  168  168  168   55   20   56  172  172  172
   8  168  168  168  168  168  168   56   56    0  172  172  175  168  168  168  168  168  168   56   56   20  172  172  174
   9  168  168  168  168  168  168  172  172  172    0   57   57  168  168  168  167  168  168  172  172  174   20   56   57
  10  168  167  168  168  168  167  172  172  172   57    0   56  168  168  165  168  168  168  172  172  172   56   20   57
  11  168  168  168  168  168  168  175  172  175   57   56    0  168  168  168  168  168  168  172  172  175   56   57   20
  12   19   53   53  164  165  165  168  167  168  168  168  168    0   54   54  165  165  165  168  168  168  168  168  168
  13   54   19   54  165  165  165  168  168  168  168  168  168   54    0   54  165  165  168  168  167  168  168  168  168
  14   54   54   19  165  165  165  168  168  168  168  165  168   54   54    0  165  165  165  168  167  168  168  168  168
  15  164  165  165   19   53   53  168  168  168  167  168  168  165  165  165    0   54   54  168  168  168  168  168  168
  16  165  165  165   53   19   54  168  168  168  168  168  168  165  165  165   54    0   54  168  168  168  168  168  168
  17  165  167  165   54   54   19  168  168  168  168  168  168  165  168  165   54   54    0  168  168  168  168  167  168
  18  167  168  168  168  168  168   20   55   56  172  172  172  168  168  168  168  168  168    0   56   56  172  172  175
  19  168  167  168  168  168  168   56   20   56  172  172  172  168  167  167  168  168  168   56    0   56  172  172  172
  20  168  168  168  168  168  168   56   56   20  174  172  175  168  168  168  168  168  168   56   56    0  172  172  175
  21  168  168  168  168  168  168  172  172  172   20   56   56  168  168  168  168  168  168  172  172  172    0   57   57
  22  168  168  168  168  168  168  172  172  172   56   20   57  168  168  168  168  168  167  172  172  172   57    0   56
  23  168  168  168  168  168  168  175  172  174   57   57   20  168  168  168  168  168  168  175  172  175   57   56    0
